name,price,state
NOWY DOTYKOWY LG T375 Wi-Fi DUAL SIM + GRATISY FV,238.0,new
NOWY SAMSUNG GALAXY NOTE 2 N7100 WHITE FV 23%,1799.0,new
NOKIA 3510 12miesięcy  GWARANCJI   Dostawa 24h,79.0,new
NOKIA 206 DUAL SIM GWAR. 2 LATA FV23% OKAZJA!,199.0,new
SAMSUNG B2100i SOLID BEZ SIML. +ETUI 24GW PL FV23%,298.0,new
Polski SAMSUNG S5300 GALAXY POCKET Gwar 24M-ce,318.0,new
Polski SAMSUNG S5610 Gwar 24M-ce KRAKÓW 5Mpx Foto,298.0,new
BIAŁY SAMSUNG I8190 GALAXY S III Mini Gwar 24M-ce,898.0,new
= SONY XPERIA E C1505 White/Biały!!! Wrocław =,475.0,new
"Zegarek z Telefonem GSM AOKE 810 Dotykowy, MMS HIT",329.99,new
Z SALONU POLSKI SONY XPERIA SP C5303 LTE  KRAKÓW!,1159.0,new
Polska GRAFITOWA NOKIA ASHA 300 Gwar 24M-ce,328.0,new
NOWY APPLE iPHONE 5 16GB WHITE GWARANCJA FV 23%,2465.0,new
CZARNY SONY XPERIA E C1505 4GB Gwar 24M-ce +GRATIS,468.0,new
SAMSUNG GALAXY S4 MINI WHITE i9195 SKY TOWER WROCŁ,1449.0,new
NOWA NOKIA LUMIA 520 BLACK GWARANCJA 24M FV 23%,689.0,new
SAMSUNG GALAXY S  S7562 LA FLEUR 24M GW BEZ LOCKA,649.0,new
NOWY SAMSUNG S4 MINI I9195 8GB LTE WHITE FV23%,1695.0,new
SAMSUNG C3780*24GW*POZNAŃ*BEZ SIMLOCKA,229.0,new
NOWY  SONY ERICSSON  U5i VIVAZ PL MENU,219.0,new
Nokia C2-05 WYBIERZ SWÓJ KOLOR aparat radio FV23%,229.0,new
Nokia ASHA 206 Niebieksa Blue Aparat 1.3MP,239.0,new
Nokia C2-03 2 SIM Dotykowa Slide Dual Sim 2GBkarta,355.0,new
Nokia 301 Dual Sim Black Nowy! FV23%! Sosnowiec,309.0,new
Nokia 301 Dual Sim White Nowy! FV23%! Sosnowiec,309.0,new
NOWA SONY XPERIA T SREBRNA KRK GW24M SKLEP FV23%,1129.0,new
NOWY SAMSUNG S4 MINI I9195 8GB LTE BLACK FV23%,1695.0,new
** BLACKBERRY Z10 BIAŁY BEZ LOCKA POZNAŃ SKLEP **,1629.0,new
POLSKI SONY XPERIA S LT26i 32GB SREBRNY PŃ,1029.0,new
SAMSUNG GALAXY NOTE 2 * BIAŁY * N7100 *B/S*POZNAŃ*,1637.0,new
** BLACKBERRY Z10 BEZ LOCKA POZNAŃ SKLEP **,1539.0,new
HTC ONE MINI SILVER FV23%*BEZLOKA*GW24*JANKI,1747.0,new
Samsung Galaxy IIII S4 i9505 WHITE fv23%*CH JANKI,2198.0,new
SAMSUNG GALAXY S3 I9300 MANUFAKTURA CENA.1429ZŁ!!,1499.0,new
SKLEPY.........HTC ONE S z520e ----- odbiór KRAKOW,1049.0,new
SONY XPERIA Z BLACK SKLEP MANUFAKTURA CEN.1800Zł,1839.0,new
NOKIA ASHA 302  QWERTY BEZ SIMLOCKA WIFI GW24 K-CE,364.0,new
NOKIA ASHA 206 DUAL SIM BEZ SIMLOCKA 4 KOLORY GW24,223.0,new
NOKIA ASHA 205 BEZ SIMLOCKA 2 KOLORY GW24 K-CE FV,228.99,new
"TELEFON 9300 4,7GPS 2x1,2GHZ 3G 2SIM 4,1 ETUI  PL",599.0,new
"TELEFON 9300 4,7GPS 3G 2SIM 4,1 ETUI +MAPA POLSKI",640.0,new
JEDYNY HTC DESIRE V DUAL SIM- NOWOŚĆ 2KOLORY-SKLEP,669.0,new
NAJTANIEJ NOWY SONY XPERIA GO -PROMOCJA-SKLEP-,749.0,new
SAMSUNG S5830 GALAXY ACE PL MENU DWA KOLORY GW,379.0,new
NOWY TELEFON SAMSUNG SGH-G600 RÓŻOWY 5MPX MP3 GW,179.0,new
NOWA NOKIA ASHA 203 GWAR. 2 LATA FAKTURA VAT 23%,234.0,new
NOWA NOKIA ASHA 302 GREY GWARANCJA 2 LATA FV 23%,338.0,new
"Nokia 101 Coral Red, Nokia PL, FV23%",109.0,new
NOWY SAMSUNG S6312 YOUNG DUOS BLUE GW. 24 M FV 23%,469.0,new
PROMOCJA! LG L7  1GHZ SKLEP MANUFAKTURA CEN.599ZŁ!,639.0,new
NOWA XPERIA SP C5303 LTE WH GW24 FAKTURA VAT 23%,1319.0,new
PODSŁUCH TELEFONU GSM iPHONE 4S SPYPHONE NOWOŚĆ!!,4800.0,new
NOWY SAMSUNG B2100 RED GW24 LATA FAKTURA VAT 23%,299.0,new
MOTOROLA K1 KOMPLET - 5 KOLORÓW - GWARANCJA - PL,149.0,new
Blackberry Pearl 8220 CZARNY GWARANCJA PL MENU,229.0,new
NOWY SAMSUNG C1010 S4 ZOOM BLACK GW24 FV 23%,1879.0,new
NOWY SAMSUNG I8190 GALAXY S3 MINI BR GW24 FV 23%,999.0,new
"NOKIA 2690,PL,GW, BEZ LOCKA,BLUETOOTH,MP3 CENA HIT",199.0,new
NOWY SAMSUNG I9082 GRAND DUOS WHITE GW24 FV 23%,1219.0,new
NOWY SAMSUNG I9082 GRAND DUOS BLUE GW24 FV 23%,1219.0,new
6 KOLORÓW - NOWA MOTOROLA V8 2GB - PEŁEN KOMPLET !,389.0,new
NOWY SAMSUNG I9300 GALAXY SIII BLUE GW24 FV 23%,1499.0,new
NOWY SAMSUNG C3780 | BEZ SIMLOCKA | 24M | FVAT23%,219.0,new
SAMSUNG S3570 CH@T 357 | BEZ LOCKA | 24M | FVAT23%,279.0,new
NOWA NOKIA 105 | BEZ SIMLOCKA | 2 KOLORY | FVAT23%,99.0,new
SAMSUNG B5330 GALAXY CH@T | BEZ SIMLOCKA | FVAT23%,489.0,new
NOWY SAMSUNG I9300 GALAXY SIII LF GW24 FV 23%,1579.0,new
SAMSUNG E1150i RED | BEZ SIMLOCKA | 24M | FVAT23%,99.0,new
EVOLVE GLADIATOR RG250 DUALSIM | BEZ SIMLOCKA | PL,399.0,new
SAMSUNG E1150i SILVER | BEZ LOCKA | 24M | FVAT23%,99.0,new
SAMSUNG GALAXY S IV MINI 8GB i9195 BIAŁY KRK GW24,1599.0,new
NOWY SONY XPERIA TIPO BLACK GWARANCJA 24 M FV 23%,438.0,new
"gt9500 16gb,5"",13 MEGA PIX, QUAD CORE,4.2.2",999.0,new
NOWY SONY XPERIA TIPO BLUE GWARANCJA 24 M FV 23%,438.0,new
NOWY SONY XPERIA TIPO RED GWARANCJA 24 M FV 23%,438.0,new
SAMSUNG i9195 Galaxy S4 MINI = LTE = CZARNY/BLACK,1419.0,new
NOWY SONY XPERIA Z PURPLE GWARANCJA 2 LATA FV 23%,1999.0,new
NOWY SONY XPERIA Z BLACK GWARANCJA 2 LATA FV 23%,1948.0,new
NOWY SONY XPERIA Z WHITE GWARANCJA 2 LATA FV 23%,1948.0,new
BLACKBERRY BOLD 9900 WHITE  NOWE FV23+8GB HIT!,1290.0,new
NOWY SAMSUNG S3800W REX70 SILVER GW.24M DOST. 0,329.0,new
NOWY SAMSUNG I9195 GALAXY S4 MINI BLACK DOSTAWA 0,1553.0,new
NOWY SAMSUNG I9195 GALAXY S4 MINI WHITE DOSTAWA 0,1553.0,new
NOWY SAMSUNG S5300 GALAXY POCKET BLACK DOST.0,313.0,new
NOWY SAMSUNG N7100 GALAXY NOTE 2 WH GW24 DOST. 0,1679.0,new
MOTOROLA RAZR XT910 SKLEP MANUFAKTURA CEN.1149ZŁ,1199.0,new
MOTOROLA RAZR XT910 SKLEP MANUFAKTURA CEN.1149ZŁ,1199.0,new
NOKIA LUMIA 820 BEZ SIMLOCKA POLSKA 24MGW FV23%,925.0,new
NOKIA LUMIA 900 BEZ SIMLOCKA POLSKA 24MGW,939.0,new
Nokia 112 telefon na dwie karty sim Dual Sim 24GW,200.0,new
"NOWY TELEFON I5 3.2"" DUAL SIM PL MENU 12M GW",39.99,new
NOWY SAMSUNG S5360 GALAXY Y WHITE DOST.0,319.0,new
M1Poznań Sony Xperia J gw24m b.locka Black,639.0,new
!!NOWA NOKIA LUMIA 925 CZARNA 32GB 24GW SKLEP WROC,1999.0,new
NOWA ORYGINALANA NOKIA 6500 SLIDE BEZ SIMLOCKA GW,229.0,new
NOWY SAMSUNG S6500 GALAXY MINI 2 YELLOW BEZ SIMLOC,399.99,new
NOWY S3 i9300 WiFi DualSim PL menu TV 2 kolory,125.99,new
NOWY BLACKBERRY 9780 BOLD 5Mpix BIAŁY BEZ SIM GW24,799.99,new
"SMARTPHONE i9300  4,0"" POLSKIE MENU GWARANCJA",92.0,new
NOKIA LUMIA 820 BEZ SIMLOCKA POLSKA 24MGW WHITE,899.0,new
Smartfon SAMSUNG Galaxy Trend S7560 4'' 4GB biały,699.0,new
Podsłuchaj komórkę GSM XPERIA Z SPYPHONE PL,4900.0,new
Podsłuch telefonu GSM iPHONE 4S PL,4400.0,new
Smartfon SAMSUNG Galaxy Trend S7560+Drukarka 2165W,699.0,new
NOWA Nokia 6300 RADIO FM MP3 APARAT 4 KOLORY,294.99,new
NOWA Nokia N96 Czarna APARAT MP3 RADIO 16GB 5mpx,499.99,new
NOWY BlackBerry 9900 Bold BIAŁY BEZ SIMLOCKA GW24,1199.99,new
LG P920 OPTIMUS SWIFT 3D BEZ LOCKA PL MENU,500.0,new
SAMSUNG GALAXY S4 MINI GT-I9195 8GB (CZARNY) FV23%,1619.0,new
SAMSUNG GALAXY S4 GT-I9505 16GB (CZARNY) FV23%,2189.0,new
Sony ST26i Xperia J Pols Biały White Leszno Gostyń,679.0,new
Muzyczny Sony Ericsson W100i SPIRO 4 KOLORY WAWA,228.0,new
NOWY Samsung E1180 Silver FV23% 24GW WAWA,83.0,new
Sony Ericsson WALKMAN W205 Black FV23 GW24 WAWA,228.0,new
myPhone 3370 SWEET DUAL SIM FV23% 24GW,139.0,new
Nokia 101 Black DUALSIM POLSKA DYSTRYBUCJA FV23%,114.0,new
Z POLSKI! LENOVO A820 QuadCore DUALSIM  Aero 2 8Mp,769.0,new
NOWY Sony Ericsson W980i CZARNY KLAPKA GW24 KOMPLE,239.0,new
"NOWA NOKIA E66 BEZ SIMLOCK GWARANCJA KOMPLET 3,2MP",419.99,new
NOWY SAMSUNG GALAXY Y YOUNG S5360 BEZSIM 24GW WAWA,349.0,new
"SMARTFON  Android 2 SIM 9300 1 GHZ  4"" WIFI",179.0,new
Nowy Smartphone Mini I9300 z Androidem+multi-touch,163.0,new
NOWA ORYGINALNA NOKIA 7230 BEZ SIMLOCKA GWARANCJA,279.0,new
"Nowy Smartfon 5S, 5G TV WIFI 4.0 cal+Gratis",104.0,new
"Nowy Smartfon i9220 WiFi, TV Menu PL Bez Simlocka",102.0,new
NOWA ORYGINALNA NOKIA 7230 BEZ SIMLOCKA GWARANCJA,269.0,new
NOWY LG-P875 F5 BLACK BEZ SIMLOCKA WROCŁAW ! TANIO,739.0,new
NOWA Nokia N8 DARK AMOLED SYMBIAN BEZ SIMLOC HD GW,769.99,new
"BLACKBERRY 8330 CURVE,PL,GW,B/S,WIFI,GPS",319.0,new
NOWA NOKIA 6700 SLIDE BEZ SIM PL 6 KOLORÓW GWARANC,299.0,new
Sony XPERIA E  4GB  C1505  _ POLSKI _Gwar.24m _KRK,499.0,new
NOWY iPhone 4 8GB BEZ SIM z PL DYST. GW Warszawa,1249.0,new
NOWA Nokia N900 3G GPS 5MPX CARL ZEISS USB JAVA GW,599.99,new
Nowy Sony Ericsson Xperia NEO V SILVER Bez simlock,469.99,new
HTC One 801n 32GB _ CZARNY _POLSKI _Gwar.24m _KRAK,1999.0,new
"Nowy Smartphone S4 I9500, LCD 5 cali z Androidem",219.0,new
SONY ERICSSON J10i ELM - KOMPLET - 2 KOL / GW. PL,299.0,new
NOKIA LUMIA 820 WIN PL8 BEZ LOCKA ZÓŁTA POZNAŃ,1049.0,new
HTC ONE X 16GB S720e  BEZ LOCKA POZNAŃ SKLEP,1349.0,new
HTC ONE S Z520e BEZ LOCKA POLSKI POZNAŃ SKLEP,1079.0,new
NASTĘPCA LENOVO A660- S750 WODOODPORNY IP67 J. POL,799.0,new
SONY ERICSSON VIVAZ PRO U8i 2 KOLORY GWA. 12 MIES.,345.0,new
NASTĘPCA P770 - LENOVO P780 4000MAH GWARANCJA PL,915.0,new
Sony Ericsson Xperia Neo V 3 Kolory GWARANCJA PL,469.0,new
LG E975 SWIFT G czarny NOWY GWARANCJA POLSKA Wwa,1300.0,new
MOTOROLA DEFY MINI 24m gw Poznań Długa 14,379.0,new
APPLE IPHONE 4 8GB bez locka Poznań Długa 14,1429.0,new
NOKIA LUMIA 820 bez locka 24m gw Poznań Długa 14,1029.0,new
NOKIA 520 YELLOW bez locka 24m gw Poznań Długa 14,579.0,new
LG E430 L3 orange gsm 24m gw Poznań Długa 14,349.0,new
APPLE iPHONE 5 16GB bez locka 12m Poznań Długa 14,2379.0,new
APPLE IPHONE 4 8GB bez locka Poznań Długa 14,1279.0,new
LG E900 Black bez locka 24m gw Poznań Długa 14,639.0,new
LG P970 biały OPTIMUS bez locka 24m Poznań Długa14,829.0,new
Z POLSK!! LENOVO A660 IP67 WODOODPORNY DUAL CORE,599.0,new
Z POLSK!! LENOVO A660 IP67 WODOODPORNY DUAL CORE,599.0,new
NOWOŚĆ ZEGAREK+ LOKALIZATOR GPS +PODSŁUCH+ TELEFON,429.0,new
"Nokia Asha 308 Dual Sim Black, Nokia PL, FV23%",329.0,new
NOWY XPERIA J ST26 24GW TEL-BIT BRODNICA TORUŃ,638.0,new
HTC 8S biały GW 24M TEL-BIT BRODNICA TORUŃ,659.0,new
NOWA HTC ONE S GW 24M TEL-BIT BRODNICA TORUŃ,1054.0,new
NOWY S GALAXY S4 I9505 24GW TEL-BIT BRODNICA TORUN,1999.0,new
NOWY SAMSUNG GALAXY S4 i9505 CZARNY 24GW WARSZAWA,2199.0,new
NOWY LG SWIFT L9 P760 BEZ SIMLOCK 24GW WARSZAWA,849.0,new
SAMSUNG ACE DUOS S 6802 CH GEMINIPARK TARNÓW,559.0,new
