name,price,state
Samsung Galaxy S II S2 SII **gwarancja**PROMOCJA!!,819.0,used
Samsung Galaxy S II S2 SII **gwarancja** OKAZJA!!!,789.0,used
JAK NOWY SONY XPERIA TIPO SKLEP WWA FV23%,299.0,used
Nokia 2730 classic jak NOWA!!! WARTO!!!,200.0,used
HTC ONE * BEZLOCKA* GW24*WROCŁAW*,1929.0,used
Samsung Galaxy III Mini - Gwarancja + Gratis,780.0,used
HTC ONE* 801e*CZARNY POLSKI* *B/S* POZNAŃ MM,1779.0,used
"Nokia 8800 Black Edition (oryginał, polskie menu)",699.0,used
"Nokia 8800 Sapphire Arte (komplet, Nokia Poland)",1999.0,used
"Samsung Galaxy Ace GT-S5830i, rok gwar. Android PL",469.0,used
"Nokia 8800 Gold Edition (24k złoto, oryginał !!!)",1199.0,used
MOTOROLA RAZR XT910 ATRAKCYJNA CENA KURIER GRATIS,749.0,used
"IPHONE 4S 16GB, STAN BDB, LOCK ANG. SIEĆ, GW 6 M!",995.0,used
NOKIA 5140i JAK NOWA SZCZECIN RATY fkt23% 5140,299.99,used
"XPERIA Z ,BESTPHONES-PL, BEZ LOCKA, GW 6 MIES!",1445.0,used
NOKIA E5 ZADBANA W DOBREJ CENIE KURIER GRATIS,279.0,used
NOKIA 8800 CARBON ARTE ORYGINAŁ BEZ LOCKA POZNAŃ,1139.0,used
Samsung Galaxy NOTE! Jak NOWY! Gwarancja+Akcesoria,1050.0,used
SAMSUNG GALAXY S3 SIII I9300 WARSZAWA SKLEP PIĘKNY,1299.0,used
Nokia n8 bez sim-lock'a,450.0,used
"GALAXY S4, STAN BDB, SKLEP, BEZ LOCKA, GW 12M",1695.0,used
"IDEALNY GALAXY S III, KOMPLET, BEZ LOCKA, GW 12M",1245.0,used
BB BLACK BERRY 9900 DOBRA CENA KURIER GRATIS,649.0,used
Samsung S8600 Wave 3 III Bez blokady SIM GW NÓWKA!,420.0,used
Iphone 3GS IDEALNY  BEZ SIMLOCKA OKAZJA WARSZAWA,549.0,used
JAK NOWA NOKIA 6300 BEZ SIMLOCKA + KARTA 2GB 12 M,170.0,used
JAK NOWA NOKIA E51 BEZ SIMLOCKA + KARTA 2GB 12 M,235.0,used
IDEALNA NOKIA N97 FOLIA 32 GB ZESTAW BEZ SIMLOCKA,390.0,used
ŁADNA NOKIA 3110c 3110 c KOMPLET FAKTURA VAT,69.0,used
BARDZO ŁADNA NOKIA X3 X3-02 2GB HF KOMPLET F-VAT,169.0,used
BARDZO ŁADNA NOKIA 2730 1GB KOMPLET FAKTURA VAT,89.0,used
BARDZO ŁADNA NOKIA C7 C 7 KOMPLET FAKTURA VAT,269.0,used
Nokia 3310!!!Gwarancja!!,22.22,used
HTC DESIRE---Gwarancja---KOMPLETNY ZESTAW okazja!!,279.0,used
Blackberry Bold 9790 - BEZ SIMLOCKA - Okazja !!,479.0,used
BLACKBERRY Z10 SKLEP MANUFAKTURA CENA.1399ZŁ,1449.0,used
LG -E610_WHITE@NEFRY GWAR 19M@L5@OFOLIOWANY_PL 24H,399.0,used
Nokia N97 mini  KOMPLET ! GWARANCJA ! NAWIGACJA,339.0,used
TYGODNIOWY ALCATEL ONE TOUCH wh.C.H.M1 WARSZAWA!!,349.0,used
Motorola Gleam Fioletowy idealny telefon,195.0,used
nokia 6310i jak NOWA Faktura gwarancja 24 miesiące,399.0,used
Blackberry Bold 9000 - BEZ SIMLOCKA ! - InPost 0zł,250.0,used
Nokia 6300 srebrna - JAK NOWA - bez locka -KOMPLET,164.0,used
